RegionName,City,State,Metro,CountyName,2017_po,2010_pop,Growth
78660,Pflugerville,TX,Austin,Travis,85450,68789,0.24
78745,Austin,TX,Austin,Travis,62220,55614,0.12
78753,Austin,TX,Austin,Travis,58693,49301,0.19
78741,Austin,TX,Austin,Travis,52307,44935,0.16
78748,Austin,TX,Austin,Travis,49142,40651,0.21
78744,Austin,TX,Austin,Travis,48432,42820,0.13
78704,Austin,TX,Austin,Travis,47158,42117,0.12
78758,Austin,TX,Austin,Travis,46618,44072,0.06
78759,Austin,TX,Austin,Travis,41847,38891,0.08
78749,Austin,TX,Austin,Travis,37453,34449,0.09
78723,Austin,TX,Austin,Travis,33170,28330,0.17
78705,Austin,TX,Austin,Travis,33075,31340,0.06
78750,Austin,TX,Austin,Travis,30758,26814,0.15
78727,Austin,TX,Austin,Travis,28999,26689,0.09
78746,Austin,TX,Austin,Travis,28268,26928,0.05
78617,Austin,TX,Austin,Travis,27900,22210,0.26
78717,Austin,TX,Austin,Travis,27764,22538,0.23
78731,Austin,TX,Austin,Travis,27447,24614,0.12
78724,Austin,TX,Austin,Travis,24833,21696,0.14
78757,Austin,TX,Austin,Travis,24059,21310,0.13
78754,Austin,TX,Austin,Travis,23858,15036,0.59
78702,Austin,TX,Austin,Travis,22876,21334,0.07
78728,Austin,TX,Austin,Travis,21245,20299,0.05
78747,Austin,TX,Austin,Travis,20954,14808,0.42
78653,Manor,TX,Austin,Travis,20822,16375,0.27
78703,Austin,TX,Austin,Travis,20788,19690,0.06
78752,Austin,TX,Austin,Travis,20302,18064,0.12
78739,Austin,TX,Austin,Travis,20191,16792,0.2
78734,Lakeway,TX,Austin,Travis,18722,17655,0.06
78735,Austin,TX,Austin,Travis,17919,16131,0.11
78732,Austin,TX,Austin,Travis,17762,14060,0.26
78737,Austin,TX,Austin,Travis,15879,12081,0.31
78738,Bee Cave,TX,Austin,Travis,15746,12134,0.3
78751,Austin,TX,Austin,Travis,14949,14385,0.04
78726,Austin,TX,Austin,Travis,14610,13122,0.11
78721,Austin,TX,Austin,Travis,12447,11425,0.09
78669,Spicewood,TX,Austin,Travis,11375,8731,0.3
78645,Lago Vista,TX,Austin,Travis,10705,9773,0.1
78730,Austin,TX,Austin,Travis,8933,7955,0.12
78733,Austin,TX,Austin,Travis,8754,8762,0
78756,Austin,TX,Austin,Travis,8377,7194,0.16
78736,Austin,TX,Austin,Travis,8199,6946,0.18
78725,Austin,TX,Austin,Travis,7517,6083,0.24
78722,Austin,TX,Austin,Travis,7254,5901,0.23
